Baris;"Unit Excel";"Barang Excel";Masalah
118;Pendaftaran;"Isi staples kecil";"Satuan beda (Excel: 'box', Sistem: 'Pcs')"
119;Pendaftaran;"Kertas karbon";"Barang 'Kertas karbon' TIDAK DITEMUKAN"
120;Pendaftaran;"Kertas potong 2";"Nama mirip (Sistem: 'Kertas potong 2 (A5)') | Satuan beda (Excel: 'pack', Sistem: 'rim')"
121;Pendaftaran;"Kertas apm";"Nama mirip (Sistem: 'Kertas APM (thermal)') | Satuan beda (Excel: 'roll', Sistem: 'rim')"
122;Pendaftaran;"Kertas trigonal kecil";"Nama mirip (Sistem: 'Trigonal') | Satuan beda (Excel: 'buah', Sistem: 'pcs')"
123;Pendaftaran;"Kertas WA";"Nama mirip (Sistem: 'Fc kertas wa') | Satuan beda (Excel: 'lembar', Sistem: 'rim')"
124;Pendaftaran;"Klip trigonal";"Satuan beda (Excel: 'buah', Sistem: 'box')"
125;Pendaftaran;"Penolakan asuransi";"Nama mirip (Sistem: 'Fc penolakan asuransi') | Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
126;Pendaftaran;Resep;"Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
127;Pendaftaran;Resume;"Nama mirip (Sistem: 'Resume medis') | Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
128;Pendaftaran;"Spidol permanen";"Satuan beda (Excel: 'buah', Sistem: 'pcs')"
129;Pendaftaran;"Surat kontrol";"Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
130;Pendaftaran;"Surat pernyataan pengurangan";"Barang 'Surat pernyataan pengurangan' TIDAK DITEMUKAN"
131;Pendaftaran;"Tinta Epson Hitam 003";"Barang 'Tinta Epson Hitam 003' TIDAK DITEMUKAN"
132;Pendaftaran;Tipe-X;"Barang 'Tipe-X' TIDAK DITEMUKAN"
133;Pendaftaran;"Tisu besar";"Satuan beda (Excel: 'pack', Sistem: 'pcs')"
134;Pendaftaran;"Tempat tidur penuh";"Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
135;Radiologi;"Amplop RO";"Satuan beda (Excel: 'buah', Sistem: 'box')"
136;Radiologi;"Amplop USG";"Barang 'Amplop USG' TIDAK DITEMUKAN"
137;Radiologi;"Kertas foto";"Satuan beda (Excel: 'pack', Sistem: 'rim')"
138;Radiologi;"Kertas HVS A4";"Barang 'Kertas HVS A4' TIDAK DITEMUKAN"
139;Radiologi;"Tinta Epson 664 BK";"Barang 'Tinta Epson 664 BK' TIDAK DITEMUKAN"
140;Radiologi;"Tisu besar";"Satuan beda (Excel: 'pack', Sistem: 'pcs')"
141;Poli;Bolpoin;"Barang 'Bolpoin' TIDAK DITEMUKAN"
142;Poli;"Kertas potong 2";"Nama mirip (Sistem: 'Kertas potong 2 (A5)') | Satuan beda (Excel: 'pack', Sistem: 'rim')"
143;Poli;"Lembar konsul dokter";"Barang 'Lembar konsul dokter' TIDAK DITEMUKAN"
144;Poli;"Lembar persetujuan operasi";"Nama mirip (Sistem: 'Persetujuan') | Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
145;Poli;"Sabun cuci tangan";"Barang 'Sabun cuci tangan' TIDAK DITEMUKAN"
146;Poli;"Tisu besar";"Satuan beda (Excel: 'pack', Sistem: 'pcs')"
148;VK;"Cap kaki bayi";"Nama mirip (Sistem: 'Fc cap kaki bayi') | Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
149;VK;"Clinical Pathway";"Barang 'Clinical Pathway' TIDAK DITEMUKAN"
150;VK;EKG;"Nama mirip (Sistem: 'Fc ekg') | Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
151;VK;"Humpty Dumpty";"Nama mirip (Sistem: 'Fc humpty dumpty') | Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
152;VK;"Identifikasi bayi";"Nama mirip (Sistem: 'Fc identifikasi bayi') | Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
153;VK;"Isi staples";"Nama mirip (Sistem: 'Isi staples besar') | Satuan beda (Excel: 'box', Sistem: 'Pcs')"
154;VK;"Kertas HVS (ukuran tidak disebut)";"Barang 'Kertas HVS (ukuran tidak disebut)' TIDAK DITEMUKAN"
155;VK;"Kresek putih kecil";"Satuan beda (Excel: 'pack', Sistem: 'lembar')"
156;VK;"Morse Fall Scale";"Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
157;VK;Partograf;"Nama mirip (Sistem: 'Fc partograf') | Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
158;VK;Sabun;"Nama mirip (Sistem: 'Sabun / Handsoap') | Satuan beda (Excel: 'botol', Sistem: 'pcs')"
159;VK;"Skrining Case Manager";"Barang 'Skrining Case Manager' TIDAK DITEMUKAN"
160;VK;"Tisu besar";"Satuan beda (Excel: 'pack', Sistem: 'pcs')"
