"Kode Aset";"Serial Number";"Kode Item";"Nama Aset";Spesifikasi;"Tanggal Perolehan";"Harga Beli";"Sumber Perolehan";"Kode Unit";"Nama Unit";PIC;Kondisi;Status;"Jenis KIB";"Masa Manfaat (Tahun)";"Nilai Residu";"Akumulasi Penyusutan";"Nilai Buku"
01201030217-02;SN-01201030217-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030218-02;SN-01201030218-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030219-02;SN-01201030219-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030220-02;SN-01201030220-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030221-02;SN-01201030221-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030222-02;SN-01201030222-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030223-02;SN-01201030223-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030224-02;SN-01201030224-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030225-02;SN-01201030225-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030226-02;SN-01201030226-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030227-02;SN-01201030227-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030228-02;SN-01201030228-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030229-02;SN-01201030229-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030230-02;SN-01201030230-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030231-02;SN-01201030231-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030232-02;SN-01201030232-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030233-02;SN-01201030233-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030234-02;SN-01201030234-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030235-02;SN-01201030235-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030236-02;SN-01201030236-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030237-02;SN-01201030237-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030238-02;SN-01201030238-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030239-02;SN-01201030239-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030240-02;SN-01201030240-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030241-02;SN-01201030241-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030242-02;SN-01201030242-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030243-02;SN-01201030243-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030244-02;SN-01201030244-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030245-02;SN-01201030245-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
